1204.0595 	EXP 	cue: autoDraw = False
1204.0595 	EXP 	stimulus: autoDraw = False
1204.0595 	EXP 	stimulus: image = u'+.png'
1204.1832 	EXP 	cue: autoDraw = True
1204.3083 	EXP 	cue: autoDraw = False
1205.8244 	EXP 	stimulus: autoDraw = True
1205.9806 	EXP 	stimulus: autoDraw = False
1206.2313 	DATA 	Keypress: tab
1208.4516 	EXP 	New trial (rep=20, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1208.6533 	EXP 	cue: autoDraw = False
1208.6533 	EXP 	stimulus: autoDraw = False
1208.6533 	EXP 	stimulus: image = u'x.png'
1208.6533 	EXP 	cue: autoDraw = True
1208.7778 	EXP 	cue: autoDraw = False
1210.3093 	EXP 	stimulus: autoDraw = True
1210.4344 	EXP 	stimulus: autoDraw = False
1210.6840 	DATA 	Keypress: tab
1212.8877 	EXP 	New trial (rep=21, index=0): {u'stimFile': u'+.png', u'corrAns': None}
1212.9498 	EXP 	cue: autoDraw = False
1212.9498 	EXP 	stimulus: autoDraw = False
1212.9498 	EXP 	stimulus: image = u'+.png'
1213.0737 	EXP 	cue: autoDraw = True
1213.1989 	EXP 	cue: autoDraw = False
1214.7304 	EXP 	stimulus: autoDraw = True
1214.8554 	EXP 	stimulus: autoDraw = False
1217.3234 	EXP 	New trial (rep=21, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1217.5421 	EXP 	cue: autoDraw = False
1217.5421 	EXP 	stimulus: autoDraw = False
1217.5421 	EXP 	stimulus: image = u'x.png'
1217.5421 	EXP 	cue: autoDraw = True
1217.6354 	EXP 	cue: autoDraw = False
1219.1669 	EXP 	stimulus: autoDraw = True
1219.2917 	EXP 	stimulus: autoDraw = False
1219.5109 	DATA 	Keypress: tab
1221.7765 	EXP 	New trial (rep=22, index=0): {u'stimFile': u'+.png', u'corrAns': None}
1221.8097 	EXP 	cue: autoDraw = False
1221.8097 	EXP 	stimulus: autoDraw = False
1221.8097 	EXP 	stimulus: image = u'+.png'
1221.9628 	EXP 	cue: autoDraw = True
1222.0879 	EXP 	cue: autoDraw = False
1223.6195 	EXP 	stimulus: autoDraw = True
1223.7443 	EXP 	stimulus: autoDraw = False
1226.2143 	EXP 	New trial (rep=22, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1226.4329 	EXP 	cue: autoDraw = False
1226.4329 	EXP 	stimulus: autoDraw = False
1226.4329 	EXP 	stimulus: image = u'x.png'
1226.4329 	EXP 	cue: autoDraw = True
1226.5261 	EXP 	cue: autoDraw = False
1228.0575 	EXP 	stimulus: autoDraw = True
1228.1824 	EXP 	stimulus: autoDraw = False
1228.4327 	DATA 	Keypress: tab
1230.6492 	EXP 	New trial (rep=23, index=0): {u'stimFile': u'+.png', u'corrAns': None}
1230.6982 	EXP 	cue: autoDraw = False
1230.6982 	EXP 	stimulus: autoDraw = False
1230.6982 	EXP 	stimulus: image = u'+.png'
1230.8380 	EXP 	cue: autoDraw = True
1230.9630 	EXP 	cue: autoDraw = False
1232.5112 	EXP 	stimulus: autoDraw = True
1232.6364 	EXP 	stimulus: autoDraw = False
1235.0920 	EXP 	New trial (rep=23, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1235.3090 	EXP 	cue: autoDraw = False
1235.3090 	EXP 	stimulus: autoDraw = False
1235.3090 	EXP 	stimulus: image = u'x.png'
1235.3090 	EXP 	cue: autoDraw = True
1235.4026 	EXP 	cue: autoDraw = False
1236.9314 	EXP 	stimulus: autoDraw = True
1237.0566 	EXP 	stimulus: autoDraw = False
1237.3070 	DATA 	Keypress: tab
1239.5268 	EXP 	New trial (rep=24, index=0): {u'stimFile': u'+.png', u'corrAns': None}
1239.5601 	EXP 	cue: autoDraw = False
1239.5601 	EXP 	stimulus: autoDraw = False
1239.5601 	EXP 	stimulus: image = u'+.png'
1239.7132 	EXP 	cue: autoDraw = True
1239.8383 	EXP 	cue: autoDraw = False
1241.3853 	EXP 	stimulus: autoDraw = True
1241.5105 	EXP 	stimulus: autoDraw = False
1243.9806 	EXP 	New trial (rep=24, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1244.1989 	EXP 	cue: autoDraw = False
1244.1989 	EXP 	stimulus: autoDraw = False
1244.1989 	EXP 	stimulus: image = u'x.png'
1244.1989 	EXP 	cue: autoDraw = True
1244.2919 	EXP 	cue: autoDraw = False
1245.7973 	EXP 	stimulus: autoDraw = True
1245.9480 	EXP 	stimulus: autoDraw = False
1246.1358 	DATA 	Keypress: tab
1248.4188 	EXP 	New trial (rep=25, index=0): {u'stimFile': u'+.png', u'corrAns': None}
1248.4814 	EXP 	cue: autoDraw = False
1248.4814 	EXP 	stimulus: autoDraw = False
1248.4814 	EXP 	stimulus: image = u'+.png'
1248.6051 	EXP 	cue: autoDraw = True
1248.7302 	EXP 	cue: autoDraw = False
1250.2614 	EXP 	stimulus: autoDraw = True
1250.3867 	EXP 	stimulus: autoDraw = False
1252.8708 	EXP 	New trial (rep=25, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1253.0892 	EXP 	cue: autoDraw = False
1253.0892 	EXP 	stimulus: autoDraw = False
1253.0892 	EXP 	stimulus: image = u'x.png'
1253.0892 	EXP 	cue: autoDraw = True
1253.1824 	EXP 	cue: autoDraw = False
1254.7139 	EXP 	stimulus: autoDraw = True
1254.8391 	EXP 	stimulus: autoDraw = False
1255.0894 	DATA 	Keypress: tab
