190.9388 	EXP 	stimulus: autoDraw = False
190.9388 	EXP 	stimulus: image = u'+.png'
191.0627 	EXP 	cue: autoDraw = True
191.2114 	EXP 	cue: autoDraw = False
192.7182 	EXP 	stimulus: autoDraw = True
192.8427 	EXP 	stimulus: autoDraw = False
195.3296 	EXP 	New trial (rep=17, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
195.5793 	EXP 	cue: autoDraw = False
195.5793 	EXP 	stimulus: autoDraw = False
195.5793 	EXP 	stimulus: image = u'x.png'
195.5793 	EXP 	cue: autoDraw = True
195.6411 	EXP 	cue: autoDraw = False
197.1717 	EXP 	stimulus: autoDraw = True
197.2970 	EXP 	stimulus: autoDraw = False
197.4847 	DATA 	Keypress: space
199.7849 	EXP 	New trial (rep=18, index=0): {u'stimFile': u'+.png', u'corrAns': None}
199.8470 	EXP 	cue: autoDraw = False
199.8470 	EXP 	stimulus: autoDraw = False
199.8470 	EXP 	stimulus: image = u'+.png'
199.9698 	EXP 	cue: autoDraw = True
200.0953 	EXP 	cue: autoDraw = False
201.6267 	EXP 	stimulus: autoDraw = True
201.7517 	EXP 	stimulus: autoDraw = False
204.2369 	EXP 	New trial (rep=18, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
204.5174 	EXP 	cue: autoDraw = False
204.5174 	EXP 	stimulus: autoDraw = False
204.5174 	EXP 	stimulus: image = u'x.png'
204.5174 	EXP 	cue: autoDraw = True
204.5485 	EXP 	cue: autoDraw = False
206.0799 	EXP 	stimulus: autoDraw = True
206.2053 	EXP 	stimulus: autoDraw = False
206.3927 	DATA 	Keypress: space
208.6939 	EXP 	New trial (rep=19, index=0): {u'stimFile': u'+.png', u'corrAns': None}
208.7559 	EXP 	cue: autoDraw = False
208.7559 	EXP 	stimulus: autoDraw = False
208.7559 	EXP 	stimulus: image = u'+.png'
208.8797 	EXP 	cue: autoDraw = True
209.0054 	EXP 	cue: autoDraw = False
210.5364 	EXP 	stimulus: autoDraw = True
210.6613 	EXP 	stimulus: autoDraw = False
213.1242 	EXP 	New trial (rep=19, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
213.4056 	EXP 	cue: autoDraw = False
213.4056 	EXP 	stimulus: autoDraw = False
213.4056 	EXP 	stimulus: image = u'x.png'
213.4056 	EXP 	cue: autoDraw = True
213.4362 	EXP 	cue: autoDraw = False
214.9673 	EXP 	stimulus: autoDraw = True
215.0926 	EXP 	stimulus: autoDraw = False
215.2490 	DATA 	Keypress: space
217.5805 	EXP 	New trial (rep=20, index=0): {u'stimFile': u'x.png', u'corrAns': u'space'}
217.7811 	EXP 	cue: autoDraw = False
217.7811 	EXP 	stimulus: autoDraw = False
217.7811 	EXP 	stimulus: image = u'x.png'
217.7811 	EXP 	cue: autoDraw = True
217.9059 	EXP 	cue: autoDraw = False
219.4373 	EXP 	stimulus: autoDraw = True
219.5627 	EXP 	stimulus: autoDraw = False
219.8129 	DATA 	Keypress: space
222.0224 	EXP 	New trial (rep=20, index=1): {u'stimFile': u'+.png', u'corrAns': None}
222.0731 	EXP 	cue: autoDraw = False
222.0731 	EXP 	stimulus: autoDraw = False
222.0731 	EXP 	stimulus: image = u'+.png'
222.2178 	EXP 	cue: autoDraw = True
222.3428 	EXP 	cue: autoDraw = False
223.8595 	EXP 	stimulus: autoDraw = True
224.0015 	EXP 	stimulus: autoDraw = False
226.4667 	EXP 	New trial (rep=21, index=0): {u'stimFile': u'x.png', u'corrAns': u'space'}
226.7470 	EXP 	cue: autoDraw = False
226.7470 	EXP 	stimulus: autoDraw = False
226.7470 	EXP 	stimulus: image = u'x.png'
226.7470 	EXP 	cue: autoDraw = True
226.7785 	EXP 	cue: autoDraw = False
228.3265 	EXP 	stimulus: autoDraw = True
228.4515 	EXP 	stimulus: autoDraw = False
228.6394 	DATA 	Keypress: space
230.9077 	EXP 	New trial (rep=21, index=1): {u'stimFile': u'+.png', u'corrAns': None}
230.9698 	EXP 	cue: autoDraw = False
230.9698 	EXP 	stimulus: autoDraw = False
230.9698 	EXP 	stimulus: image = u'+.png'
231.0943 	EXP 	cue: autoDraw = True
231.2188 	EXP 	cue: autoDraw = False
232.7661 	EXP 	stimulus: autoDraw = True
232.8910 	EXP 	stimulus: autoDraw = False
235.3627 	EXP 	New trial (rep=22, index=0): {u'stimFile': u'+.png', u'corrAns': None}
235.4073 	EXP 	cue: autoDraw = False
235.4073 	EXP 	stimulus: autoDraw = False
235.4073 	EXP 	stimulus: image = u'+.png'
235.5632 	EXP 	cue: autoDraw = True
235.6884 	EXP 	cue: autoDraw = False
237.2021 	EXP 	stimulus: autoDraw = True
237.3272 	EXP 	stimulus: autoDraw = False
239.8200 	EXP 	New trial (rep=22, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
240.1007 	EXP 	cue: autoDraw = False
240.1007 	EXP 	stimulus: autoDraw = False
240.1007 	EXP 	stimulus: image = u'x.png'
240.1007 	EXP 	cue: autoDraw = True
240.1314 	EXP 	cue: autoDraw = False
241.6626 	EXP 	stimulus: autoDraw = True
241.7883 	EXP 	stimulus: autoDraw = False
241.9568 	DATA 	Keypress: space
244.2516 	EXP 	New trial (rep=23, index=0): {u'stimFile': u'+.png', u'corrAns': None}
244.3133 	EXP 	cue: autoDraw = False
244.3133 	EXP 	stimulus: autoDraw = False
244.3133 	EXP 	stimulus: image = u'+.png'
244.4374 	EXP 	cue: autoDraw = True
244.5624 	EXP 	cue: autoDraw = False
246.0945 	EXP 	stimulus: autoDraw = True
246.2190 	EXP 	stimulus: autoDraw = False
248.7051 	EXP 	New trial (rep=23, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
248.9850 	EXP 	cue: autoDraw = False
248.9850 	EXP 	stimulus: autoDraw = False
248.9850 	EXP 	stimulus: image = u'x.png'
248.9850 	EXP 	cue: autoDraw = True
249.0012 	EXP 	cue: autoDraw = False
250.5529 	EXP 	stimulus: autoDraw = True
250.6782 	EXP 	stimulus: autoDraw = False
250.8659 	DATA 	Keypress: space
253.1414 	EXP 	New trial (rep=24, index=0): {u'stimFile': u'+.png', u'corrAns': None}
253.2033 	EXP 	cue: autoDraw = False
253.2033 	EXP 	stimulus: autoDraw = False
253.2033 	EXP 	stimulus: image = u'+.png'
253.3270 	EXP 	cue: autoDraw = True
253.4521 	EXP 	cue: autoDraw = False
254.9836 	EXP 	stimulus: autoDraw = True
255.1087 	EXP 	stimulus: autoDraw = False
