1288.6984 	EXP 	stimulus: autoDraw = False
1288.9484 	DATA 	Keypress: tab
1291.1816 	EXP 	New trial (rep=19, index=1): {u'stimFile': u'+.png', u'corrAns': None}
1291.1973 	EXP 	cue: autoDraw = False
1291.1973 	EXP 	stimulus: autoDraw = False
1291.1973 	EXP 	stimulus: image = u'+.png'
1291.1973 	EXP 	cue: autoDraw = True
1291.3472 	EXP 	cue: autoDraw = False
1292.8633 	EXP 	stimulus: autoDraw = True
1292.9982 	EXP 	stimulus: autoDraw = False
1295.4797 	EXP 	New trial (rep=20, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1295.5626 	EXP 	cue: autoDraw = False
1295.5626 	EXP 	stimulus: autoDraw = False
1295.5626 	EXP 	stimulus: image = u'x.png'
1295.5626 	EXP 	cue: autoDraw = True
1295.6454 	EXP 	cue: autoDraw = False
1297.1614 	EXP 	stimulus: autoDraw = True
1297.2947 	EXP 	stimulus: autoDraw = False
1297.5115 	DATA 	Keypress: tab
1299.7778 	EXP 	New trial (rep=20, index=1): {u'stimFile': u'+.png', u'corrAns': None}
1299.7936 	EXP 	cue: autoDraw = False
1299.7936 	EXP 	stimulus: autoDraw = False
1299.7936 	EXP 	stimulus: image = u'+.png'
1299.7936 	EXP 	cue: autoDraw = True
1299.9436 	EXP 	cue: autoDraw = False
1301.4596 	EXP 	stimulus: autoDraw = True
1301.5929 	EXP 	stimulus: autoDraw = False
1304.0760 	EXP 	New trial (rep=21, index=0): {u'stimFile': u'+.png', u'corrAns': None}
1304.0917 	EXP 	cue: autoDraw = False
1304.0917 	EXP 	stimulus: autoDraw = False
1304.0917 	EXP 	stimulus: image = u'+.png'
1304.0917 	EXP 	cue: autoDraw = True
1304.2417 	EXP 	cue: autoDraw = False
1305.7577 	EXP 	stimulus: autoDraw = True
1305.8910 	EXP 	stimulus: autoDraw = False
1306.1244 	DATA 	Keypress: tab
1308.3743 	EXP 	New trial (rep=21, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1308.4600 	EXP 	cue: autoDraw = False
1308.4600 	EXP 	stimulus: autoDraw = False
1308.4600 	EXP 	stimulus: image = u'x.png'
1308.4600 	EXP 	cue: autoDraw = True
1308.5399 	EXP 	cue: autoDraw = False
1310.0559 	EXP 	stimulus: autoDraw = True
1310.1892 	EXP 	stimulus: autoDraw = False
1310.4226 	DATA 	Keypress: tab
1312.6724 	EXP 	New trial (rep=22, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1312.7471 	EXP 	cue: autoDraw = False
1312.7471 	EXP 	stimulus: autoDraw = False
1312.7471 	EXP 	stimulus: image = u'x.png'
1312.7471 	EXP 	cue: autoDraw = True
1312.8380 	EXP 	cue: autoDraw = False
1314.3541 	EXP 	stimulus: autoDraw = True
1314.4873 	EXP 	stimulus: autoDraw = False
1314.7041 	DATA 	Keypress: tab
1316.9706 	EXP 	New trial (rep=22, index=1): {u'stimFile': u'+.png', u'corrAns': None}
1316.9863 	EXP 	cue: autoDraw = False
1316.9863 	EXP 	stimulus: autoDraw = False
